Country,Year,Season,MAX_T_AVG,MEAN_T_AVG,MIN_T_AVG
RO,1966,WINTER,3.1552897884084645,-0.03526170798898038,-3.0389502762430936
RO,1967,SUMMER,25.030607287449392,19.178097165991904,13.774858299595145
RO,1967,WINTER,0.5248047601338792,-3.005952380952381,-6.3986964618249536
RO,1973,SUMMER,24.14785373608903,18.726836046050014,13.524472741742937
RO,1973,WINTER,2.4255421686746987,-1.1934071222329155,-4.3561776061776065
RO,1974,SUMMER,24.057936881771077,18.433254828073483,13.18276024493641
RO,1974,WINTER,3.2673946957878317,-0.3149844236760123,-3.2183979974968713
RO,1975,SUMMER,24.958190327613103,19.200155957579536,14.038689547581903
RO,1975,WINTER,3.247879722436392,-0.5484790142472079,-3.858574181117534
RO,1976,SUMMER,23.031553398058254,17.38151872399445,11.992369060006936
RO,1976,WINTER,1.8197743467933492,-2.0327888327888326,-5.661319073083779
RO,1977,SUMMER,24.358870967741936,18.66801934963719,13.290782047836602
RO,1977,WINTER,3.045209350115592,-0.676660682226212,-3.986392811296534
RO,1978,SUMMER,23.717605455923213,17.83306410903584,12.121273370389085
RO,1978,WINTER,2.2486175624861757,-1.509953754679586,-4.75436271261321
RO,1979,SUMMER,24.210369350768524,18.719431714023838,13.493461803165864
RO,1979,WINTER,3.444466019417476,-0.2801007556675062,-3.6342079689018463
RO,1980,SUMMER,23.80522171570659,18.108514605344936,12.98673849979279
RO,1980,WINTER,1.2196998123827392,-2.2804112149532703,-5.528397375820056
RO,1981,SUMMER,24.904396934247682,18.916209677419356,13.487293263412667
RO,1981,WINTER,1.9805108798486282,-1.6168552036199098,-4.823340268583317
RO,1982,SUMMER,24.567496312684366,19.055807522123885,13.726974169741691
RO,1982,WINTER,3.4355321732092263,-0.2053795335041119,-3.378404643001755
RO,1983,SUMMER,23.90881653285756,18.67581028843295,13.574602230483267
RO,1983,WINTER,2.9537835290084855,-0.6285347043701796,-3.8645117036782985
RO,1984,SUMMER,22.169679151220762,18.12656269973157,12.393633341856297
RO,1984,WINTER,1.665486996430392,-0.6880867528764893,-3.369466272068578
RO,1985,SUMMER,22.518974136057388,17.002336194719124,11.883532608695655
RO,1985,WINTER,-0.44394727714186616,-4.410127109814545,-8.021778672590946
RO,1986,SUMMER,22.353905032852413,17.2073865944482,12.374133839582347
RO,1986,WINTER,1.7778841522157993,-1.6039182692307694,-4.5895282279930125
RO,1987,SUMMER,23.085525794212582,18.49141951550825,12.171476357863707
RO,1987,WINTER,2.3270860588134923,-1.1608015918135315,-4.97443304843305
RO,1988,SUMMER,23.09758194799105,17.591856711444336,12.067042077272014
RO,1988,WINTER,5.261535254572929,1.6006718750000002,-1.7646865547095028
RO,1989,SUMMER,21.705957133851644,16.269718605627887,11.367092399873858
RO,1989,WINTER,6.091001185472572,1.6577169638528255,-2.2219762419006464
RO,1990,SUMMER,22.581311048404594,16.709451252575644,10.804395008138904
RO,1990,WINTER,5.8275762527233095,1.9889457355902673,-1.6469597907813
RO,1991,SUMMER,21.64300594326328,16.517035086645027,11.707021093941616
RO,1991,WINTER,2.804240047850069,-0.9736028142838178,-4.501489658841526
RO,1992,SUMMER,23.153871813199896,17.943651832460716,12.243311874105864
RO,1992,WINTER,3.803577356762634,-0.19903273809523805,-4.050297994269343
RO,1993,SUMMER,21.95383634973236,17.06579835679256,11.22664452675948
RO,1993,WINTER,4.602806372549016,0.2981989708404803,-3.9795632973503454
