Country,Month,Slope,R2,p
BF,5,0.08498612693553244,0.2554207961030344,8.107490285110828e-06
BF,6,0.11051352489956874,0.38578604882949247,7.50825226951659e-09
BF,7,0.09488349181032153,0.3507301974650406,5.326491408111886e-08
BF,8,0.10505455971372762,0.3700237991206698,1.835022992351321e-08
BF,9,0.10916553300448124,0.40790168089635115,2.0643075409530573e-09
BF,10,0.07999838347444821,0.321643923306102,2.5145716959545225e-07
BF,11,0.0542673895236317,0.21981911824163614,4.2451321108831396e-05
BF,12,0.038456399871798656,0.11825575101891521,0.003559308488712818
BG,1,0.0021506097241114548,0.0030345504840337038,0.6867714350917721
BG,2,-0.0003383022968437281,0.00022535323204659366,0.9125598828794765
BG,3,0.00886928263921891,0.03153966671405224,0.19457586412659536
BG,4,0.04782710863999591,0.1849440453919597,0.0009396352498543785
BG,5,0.08329472631139796,0.19594438552308038,0.0008031316168996829
BG,6,0.13287450247390276,0.19008226769490302,0.0008771018464863996
BG,7,0.16523792294116296,0.24118285006773163,9.067938420428039e-05
BG,8,0.10428508987056734,0.16149819366034987,0.0019444533389526568
BG,9,0.08993400774444432,0.19565186057091888,0.0005079924064624787
BG,10,0.04469083983663146,0.06751853864409035,0.04886035363358671
BG,11,0.013318973510363968,0.10101104506741258,0.015050014906907286
BG,12,0.0018931383992894482,0.01990152207970749,0.2952262201627157
BH,1,0.04364093036690897,0.08417188266804922,0.033329874574947044
BH,2,-0.015962756294300596,0.007500581606310871,0.5456482689457176
BH,3,0.00395954167888347,0.0021109706413298063,0.7488547427117774
BH,4,-0.02433521619340071,0.011675101808807698,0.44122430882772756
BH,5,-0.009610925219229507,0.0007896657231039041,0.8432389807002943
BH,6,0.04413841749169524,0.010968511815747126,0.4510424195407423
BH,7,-0.02298810122312848,0.0024124401336163026,0.72689510544984
BH,8,0.053981649126262875,0.055111676205362635,0.09063576833262599
BH,9,0.019547892137075626,0.0037670657774291957,0.6655665136030722
BH,10,0.10747241720257396,0.08052571828270794,0.035769986339879524
BH,11,0.04976854943721015,0.03638851039173983,0.17554146246001512
BH,12,0.04107107241416013,0.07669993932835276,0.049132523082044285
BK,1,0.02504731174104778,0.1036526630011279,0.011397718154226173
BK,2,0.0029073012706574194,0.001680104771449452,0.7537915116400378
BK,3,0.006244859621771416,0.009975705506811509,0.4476838399357169
BK,4,8.701677912840433e-06,2.55320686280072e-08,0.9990332257152854
BK,5,-0.004532029144903147,0.0038261715142741477,0.6358061252975684
BK,6,-0.01564116829026158,0.05675053069725291,0.06448522010583076
BK,7,-0.012934605874055559,0.045370658878740464,0.09931749524978581
BK,8,-0.007971457608618471,0.017698772058002493,0.3067305134230675
BK,9,0.0027839552947813515,0.0015532576728782188,0.762985982676345
BK,10,-0.0026661068243936624,0.0013097324959334725,0.7818585123760288
BK,11,-0.0053323036642080514,0.004654032216639553,0.6013881746255088
BK,12,-0.002278725177138446,0.000812671759089661,0.82736052054942
BL,1,0.03003406850941183,0.09204667526248445,0.021780241339165157
BL,2,0.045771695117246866,0.23500375907298598,0.00013268207439283663
BL,3,0.03393482288786364,0.1484750154934869,0.0033610474339637745
BL,4,0.03070606612060808,0.2724589783091137,3.693958300535582e-05
BL,5,0.017207775358001384,0.20588391319997407,0.0003927470384421051
BL,6,0.01284764113129291,0.20838545131894387,0.000316170965704936
BL,7,0.004344909593652079,0.040698384536727646,0.12886070125565557
BL,8,0.004835490987369586,0.0401246881027427,0.1351751311535984
BL,9,0.00024646103448421286,6.404532930444144e-05,0.9524567553976022
BL,10,0.019285272390060063,0.18956676276338744,0.0007120696919590921
BL,11,0.03518756971122589,0.3194607795838754,4.635101860542876e-06
BL,12,0.039288125818823356,0.1900707385319995,0.0006991933901156176
BM,1,-0.00042131555365887473,0.0016355925695335605,0.7529873140528749
BM,2,0.0009722356308353186,0.0036395363586663875,0.6385818282723472
BM,3,-0.0003083160383476803,0.00024036410924587232,0.9040081460425385
BM,4,0.004028561567901762,0.03454515441049385,0.14808140310967954
BM,5,-0.046321879083518466,0.0922082595250436,0.015547188381992313
BM,6,-0.06668687937775233,0.04805137970117135,0.0869348208005342
BM,7,-0.05209644447697499,0.028704396117037047,0.18435990807320335
BM,8,-0.059348441142749744,0.03905766581581708,0.12363302527332874
BM,9,-0.060069129374085775,0.06716002015519613,0.04195836668441562
BM,10,-0.01550268667886999,0.0203703065870375,0.26845800534321523
BM,11,-0.005507706790262681,0.020797173352522853,0.25947443689813926
BM,12,-0.0032325367195211877,0.036413587755667214,0.13737000170135255
BN,1,0.00034868765608329265,0.0001427345709548029,0.9350649861552329
BN,2,-0.00015040415372885834,1.0293436841500378e-05,0.9825447624823638
BN,3,0.009886892014785527,0.033686143274874625,0.20682143267023365
BN,4,0.005263748414375675,0.0030657305301807036,0.7055287967104024
BN,5,0.044270029071698795,0.14215910789612993,0.007573944620499691
BN,6,0.05599230460149538,0.09554333845824929,0.030689258761041987
BN,7,0.015287441594266064,0.011880998906325747,0.4559523160479896
BN,8,0.02652306621208515,0.028652365032405404,0.24494480034106486
BN,9,0.04684141275639041,0.10870854778568635,0.020695458619947697
BN,10,0.03381777819332089,0.12110913828563703,0.01427398630105083
BN,11,0.00790612391886535,0.06028516528717388,0.08904007238679174
BN,12,-0.008365719045920966,0.07306676131618008,0.06031970541079648
BO,1,-0.04558541017410436,0.11079402381308029,0.004277909081547972
BO,2,-0.03906671754687497,0.10269050617745373,0.006063553849406617
BO,3,-0.03074315608548567,0.0640599854938934,0.03194451509839913
BO,4,-0.021372369355818426,0.1021417055306325,0.0062083310943864805
BO,5,-0.018495654279454026,0.07043857575032204,0.024248086297594947
BO,6,-0.009571202540975618,0.03161678407498471,0.13509533669522572
BO,7,-0.011727740822637507,0.03952075353183612,0.09897774868094263
BO,8,-0.024167638209774682,0.10923648051841123,0.004876726597543435
BO,9,-0.023130274038745225,0.120473675737749,0.003021586145289099
BO,10,-0.03494400064607483,0.10219798212663,0.006193328130960654
BO,11,-0.046325747059685965,0.11011037037737666,0.004405826077777309
BO,12,-0.03906335548166113,0.10473043171548228,0.005554232281115302
BP,1,0.1059625826908498,0.2678410908992341,1.1909180274079407e-05
BP,2,0.10699385740156048,0.1946343949757932,0.0002955853793200703
BP,3,0.08506689314524526,0.12750054097123747,0.003014942728717378
BP,4,0.09683560583103222,0.2321755911191785,4.1978726535365815e-05
BP,5,0.07987119103988129,0.23011461947213208,4.592098065345488e-05
BP,6,0.09142630564635267,0.44238839172289823,8.295960943698086e-10
BP,7,0.09856447942366472,0.4388828156857859,1.3729111017035017e-09
BP,8,0.09638330155682745,0.4628561930072491,3.3112563133118796e-10
BP,9,0.09724462042390719,0.4797597781122798,8.378296250677101e-11
BP,10,0.09431589220221974,0.3667895799116924,9.041237514734574e-08
BP,11,0.08999559530613911,0.2773090042828968,7.831284403440606e-06
BP,12,0.09398582789111372,0.2450351724769453,2.386824670877781e-05
BR,1,0.040860055565065063,0.2319780054031405,1.215498594003198e-05
BR,2,0.04043464833422367,0.21762364323037003,2.45920884654954e-05
BR,3,0.04186752399428182,0.22182511598628882,2.0031032293493e-05
BR,4,0.030132127558061335,0.142323548601591,0.00078111581331592
BR,5,0.026512848801471672,0.21769938177953413,2.1536327631773405e-05
BR,6,0.017874854973477534,0.1948810770142123,7.352845059788017e-05
BR,7,0.013518078406811573,0.1614281558607943,0.0003530554836576958
BR,8,0.011001247909367998,0.15383025074206438,0.0005011157922106896
BR,9,0.013178737263062103,0.12647092510389027,0.001741327179287054
BR,10,0.01848520054463201,0.17982096424256513,0.00013489915333278273
BR,11,0.02636108341037151,0.21423504525630852,2.8997827991465603e-05
BR,12,0.03185010452380144,0.20114775350368194,5.450844976826484e-05
BT,1,0.0,0.0,1.0
BT,2,0.0,0.0,1.0
BT,3,0.0,0.0,1.0
BT,4,0.0,0.0,1.0
BT,5,0.0,0.0,1.0
BT,6,0.24306220095693779,0.08417508417508412,0.4161202535070596
BT,7,0.0,0.0,1.0
BT,8,0.0,0.0,1.0
BT,9,0.0,0.0,1.0
BT,10,0.0,0.0,1.0
BT,11,0.0,0.0,1.0
BT,12,0.0,0.0,1.0
BU,1,-0.0001240990719971598,1.3129971854170633e-05,0.9773295744558292
BU,2,-0.0028767993398717594,0.006433465516340104,0.5286680030995177
BU,3,0.003955477541203072,0.013854339755418032,0.35428897647119717
BU,4,-0.0047158424376384355,0.021063765706005756,0.2525175150824602
BU,5,-0.0033542771124792105,0.005995508396699781,0.5430875280591194
BU,6,0.005152213622636312,0.014096670059971216,0.35008444858958343
BU,7,0.007511880589639625,0.030773908726254635,0.16558875323434274
BU,8,0.007339703167730645,0.03341842566793122,0.14821983339440137
BU,9,0.011758285531454419,0.05016791370439207,0.07520370435738809
BU,10,0.008984436558309708,0.04841507099213718,0.08062670236663365
BU,11,-0.015577857172462458,0.13952760303486045,0.0023638688654388463
BU,12,-0.004813268534316533,0.015046094689447223,0.33423820350287126
BV,1,-0.011121617362330586,0.7491925877715424,0.0002748072136847726
BV,2,-0.004170606510873969,0.7491925877715422,0.0002748072136847737
BV,3,-0.03406102051551817,0.7351503594599337,0.0001791832985465641
BV,4,-0.0003246753246753247,0.010000000000000004,0.7698749998921366
BV,5,0.0,0.0,1.0
BV,6,0.0025058275058275053,0.04767959313413856,0.4953667595162975
BV,7,0.030227836679449584,0.04767959313413861,0.4953667595162973
BV,8,0.0,0.0,1.0
BV,9,0.0,0.0,1.0
BV,10,0.0,0.0,1.0
BV,11,0.0,0.0,1.0
BV,12,0.0,0.0,1.0
BX,1,0.2526913315061166,0.20805825087907734,0.001859234355515673
BX,2,0.14444439856693692,0.1463122855946907,0.010392218288952213
BX,3,0.10718407404089039,0.2071407645272831,0.001908533841485594
BX,4,0.10826546380667464,0.09488523070455611,0.0419307952000246
BX,5,0.1255150773913195,0.1546913397139074,0.008261467875416255
BX,6,0.1814532572088422,0.26663320060698087,0.00033309495953485184
BX,7,0.11991632751883281,0.11014303247365573,0.029691665951354654
BX,8,0.17454725174859065,0.17768236174220764,0.0043761050212341775
BX,9,0.06468689645184447,0.03141764518898562,0.2497159966682315
BX,10,0.09213373087101737,0.06752397711068817,0.08848314314534282
